Season,Team,Result,1-3 F Avg Game Score,4-6 F Avg Game Score,7-9 F Avg Game Score,9-12 F Avg Game Score,1-2 D Avg Game Score,3-4 D Avg Game Score,5-6 D Avg Game Score,Starting Goalie Avg GSAx
2025-2026,MIN,1,1.0176194974616026,0.6843958965209634,0.38085019442376106,0.22640780869648225,0.8766199324324325,0.35803389138423847,0.16410945273631838,0.02759999999999991
2025-2026,MTL,2,1.0539596507076183,0.37532518731069664,0.35269601200913964,0.2676622193835309,0.6795731707317073,0.4313527397260274,0.10271838331160364,0.40139534883720906
2025-2026,NSH,-1,0.8847917293987755,0.5361263772733307,0.28847522623664695,0.12184979736575481,0.534004662840746,0.17191608819926502,0.24559018567639257,-0.15711864406779677
2025-2026,NJD,-1,1.0614227642276421,0.6462376377010524,0.4387042606516291,0.08048803418441458,0.6551336898395723,0.3665977742448331,0.1852439024390244,-0.2711363636363638
2025-2026,NYI,-1,0.7284343076736867,0.4444571230693491,0.4036121567915431,0.18356450966031948,0.6016463414634146,0.43374999999999997,0.07717763157894737,0.4600000000000002
2025-2026,NYR,-1,0.745679888502296,0.5601178032188485,0.2814438934902645,0.20557321110262286,0.7215254988913525,0.14990731707317073,0.21151552287581699,0.4166666666666667
2025-2026,OTT,0,0.878567334739803,0.8703165452433744,0.4712721038430428,0.35402588105401755,0.8341057868551978,0.5832614578048368,0.31068501170960183,-0.26142857142857145
2025-2026,PHI,1,0.6621633464272353,0.542297423544036,0.39423226899448793,0.07710678210678211,0.37229813146479807,0.2682532051282051,0.1843111601513241,0.2646153846153844
2025-2026,PIT,0,0.8853044662309367,0.7254375768264657,0.457136378769069,0.4422263418079096,0.6773288288288288,0.4496875,0.29438333333333333,0.16620000000000004
2025-2026,SJS,-1,0.828934151553054,0.6047723206298085,0.271753334111617,0.017627091084470164,0.2928048780487805,0.2606452156334232,0.13600555555555555,-0.40234042553191485
2025-2026,SEA,-1,0.4733130081300813,0.38145927601809954,0.42736983136983137,0.2038860322683852,0.45117862654320984,0.0804701540436457,0.14224167623421355,-0.13106382978723397
2025-2026,STL,-1,0.7810298419299714,0.49593898809523806,0.47418503776280874,0.17611060834590245,0.2994644861311528,0.23659719694211867,0.1797976011994003,0.25413043478260866
2025-2026,TBL,0,1.3585550034013918,0.6926319161581956,0.3733440793734912,0.46024855212355215,0.9289569967053928,0.4693303571428572,0.2542590163934426,0.4265517241379312
2025-2026,TOR,-1,0.7899651087309314,0.4367857846760286,0.2953722599778938,0.030067870994080426,0.2820721153846154,0.16225524475524475,-0.03502247431506849,-0.16923076923076907
2025-2026,VAN,-1,0.4663531531531531,0.37900367981248934,0.2335703485043056,0.16402383690021388,0.25841463414634147,0.1393496240601504,0.058686635944700465,-0.4112765957446811
2025-2026,UTA,0,1.0690269630544407,0.6941799658737328,0.3643894693200664,0.37700884236981635,0.6192534891269068,0.5455823170731707,0.4459451219512195,0.1081249999999998
2025-2026,VGK,3,1.1814481703926147,0.848130081300813,0.3198349491920706,0.19790653339433825,0.6918959435626102,0.5116342499441091,0.27430618401206636,-0.029411764705882353
2025-2026,WSH,-1,0.7915577485380116,0.5483781530122994,0.3948764957264957,0.24016054606927936,0.6230039556962025,0.18070790648804833,0.2744057211925866,0.5055172413793102
2025-2026,WPG,-1,0.9413008130081302,0.4184928021841648,0.2931623794926474,0.25498669957493486,0.5133575248281131,0.30939948263119,-0.00023684210526315336,0.0971929824561402
2024-2025,ANA,-1,0.5688800900996023,0.44497575238910286,0.3652456529349983,0.05475772424118688,0.34240952380952383,0.2846664675428116,0.09225840336134454,0.2657407407407406
2024-2025,BOS,-1,0.7947560975609756,0.48584950029394475,0.07712701088865472,0.06570300727992302,0.3741481481481481,0.22596120984278878,0.20778787878787877,-0.15689655172413783
2024-2025,BUF,-1,0.7740021547771869,0.6540669295446476,0.4939284704058897,0.17255317305609705,0.7798989308386235,0.36708962841976317,0.08476598173515981,-0.15600000000000022
2024-2025,CGY,-1,0.7627983407027052,0.6334108157128538,0.46757201646090535,0.22643731628453853,0.6587037037037038,0.3205544068234686,0.25144325657894734,0.22509433962264164
